multiplier,TP,FP,TN,FN,precision,recall,f1_score
6.9,181,5,86095,119,0.9731182795698925,0.6033333333333334,0.7448559670781894
6.95,169,5,86095,131,0.9712643678160919,0.5633333333333334,0.7130801687763713
7.0,159,5,86095,141,0.9695121951219512,0.53,0.6853448275862069
7.05,154,4,86096,146,0.9746835443037974,0.5133333333333333,0.6724890829694323
7.1,145,4,86096,155,0.9731543624161074,0.48333333333333334,0.6458797327394209
7.15,134,4,86096,166,0.9710144927536232,0.44666666666666666,0.6118721461187215
7.2,126,4,86096,174,0.9692307692307692,0.42,0.5860465116279069
7.25,120,4,86096,180,0.967741935483871,0.4,0.5660377358490567
7.3,110,4,86096,190,0.9649122807017544,0.36666666666666664,0.5314009661835748
7.35,100,4,86096,200,0.9615384615384616,0.3333333333333333,0.495049504950495
7.4,94,4,86096,206,0.9591836734693877,0.31333333333333335,0.4723618090452261
7.45,88,3,86097,212,0.967032967032967,0.29333333333333333,0.4501278772378517
7.5,79,2,86098,221,0.9753086419753086,0.2633333333333333,0.4146981627296587
7.55,70,2,86098,230,0.9722222222222222,0.23333333333333334,0.37634408602150543
7.6,64,2,86098,236,0.9696969696969697,0.21333333333333335,0.34972677595628415
7.65,58,2,86098,242,0.9666666666666667,0.19333333333333333,0.32222222222222224
7.7,51,2,86098,249,0.9622641509433962,0.17,0.2889518413597734
7.75,48,2,86098,252,0.96,0.16,0.2742857142857143
7.8,42,2,86098,258,0.9545454545454546,0.14,0.24418604651162792
7.85,36,2,86098,264,0.9473684210526315,0.12,0.21301775147928992
7.9,32,2,86098,268,0.9411764705882353,0.10666666666666667,0.19161676646706588
7.95,31,2,86098,269,0.9393939393939394,0.10333333333333333,0.18618618618618618
8.0,26,2,86098,274,0.9285714285714286,0.08666666666666667,0.15853658536585366
8.05,23,2,86098,277,0.92,0.07666666666666666,0.14153846153846153
8.1,21,2,86098,279,0.9130434782608695,0.07,0.130030959752322
8.15,18,2,86098,282,0.9,0.06,0.1125
8.2,15,2,86098,285,0.8823529411764706,0.05,0.09463722397476342
8.25,13,1,86099,287,0.9285714285714286,0.043333333333333335,0.08280254777070063
8.3,9,1,86099,291,0.9,0.03,0.058064516129032254
8.35,8,0,86100,292,1.0,0.02666666666666667,0.05194805194805195
8.4,5,0,86100,295,1.0,0.016666666666666666,0.03278688524590164
8.45,5,0,86100,295,1.0,0.016666666666666666,0.03278688524590164
8.5,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.55,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.6,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.65,4,0,86100,296,1.0,0.013333333333333334,0.02631578947368421
8.7,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.75,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.8,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.85,2,0,86100,298,1.0,0.006666666666666667,0.013245033112582783
8.9,1,0,86100,299,1.0,0.0033333333333333335,0.006644518272425249
